ID,Response
50883,0
50884,1
50885,1
50886,0
50887,1
50888,1
50889,0
50890,1
50891,1
50892,1
50893,1
50894,1
50895,0
50896,1
50897,1
50898,0
50899,0
50900,1
50901,1
50902,0
50903,0
50904,0
50905,1
50906,0
50907,0
50908,0
50909,0
50910,1
50911,1
50912,0
50913,0
50914,0
50915,1
50916,1
50917,1
50918,0
50919,0
50920,1
50921,1
50922,1
50923,1
50924,0
50925,1
50926,1
50927,1
50928,1
50929,0
50930,1
50931,0
50932,0
50933,0
50934,0
50935,1
50936,1
50937,0
50938,0
50939,1
50940,0
50941,1
50942,1
50943,1
50944,0
50945,1
50946,0
50947,1
50948,0
50949,1
50950,1
50951,0
50952,1
50953,1
50954,0
50955,0
50956,1
50957,0
50958,1
50959,0
50960,0
50961,0
50962,1
50963,1
50964,0
50965,0
50966,1
50967,0
50968,0
50969,1
50970,1
50971,1
50972,0
50973,0
50974,1
50975,1
50976,1
50977,1
50978,0
50979,1
50980,1
50981,0
50982,0
50983,1
50984,0
50985,0
50986,0
50987,0
50988,1
50989,0
50990,1
50991,0
50992,1
50993,1
50994,0
50995,1
50996,1
50997,1
50998,0
50999,0
51000,0
51001,1
51002,1
51003,0
51004,0
51005,1
51006,1
51007,1
51008,1
51009,0
51010,1
51011,1
51012,0
51013,0
51014,1
51015,1
51016,1
51017,1
51018,0
51019,1
51020,1
51021,0
51022,1
51023,0
51024,1
51025,0
51026,1
51027,1
51028,0
51029,0
51030,0
51031,1
51032,0
51033,0
51034,0
51035,0
51036,1
51037,0
51038,0
51039,1
51040,0
51041,1
51042,0
51043,1
51044,1
51045,0
51046,0
51047,0
51048,1
51049,1
51050,0
51051,1
51052,1
51053,0
51054,1
51055,1
51056,0
51057,1
51058,0
51059,1
51060,1
51061,0
51062,0
51063,0
51064,1
51065,1
51066,0
51067,1
51068,0
51069,0
51070,1
51071,1
51072,0
51073,1
51074,0
51075,0
51076,1
51077,0
51078,0
51079,0
51080,0
51081,0
51082,1
51083,0
51084,0
51085,1
51086,0
51087,1
51088,0
51089,1
51090,1
51091,1
51092,0
51093,0
51094,1
51095,0
51096,1
51097,1
51098,0
51099,0
51100,0
51101,1
51102,0
51103,0
51104,0
51105,1
51106,1
51107,0
51108,1
51109,1
51110,1
51111,0
51112,1
51113,0
51114,1
51115,0
51116,0
51117,0
51118,1
51119,1
51120,0
51121,0
51122,0
51123,0
51124,0
51125,0
51126,1
51127,1
51128,1
51129,0
51130,0
51131,1
51132,1
51133,0
51134,1
51135,1
51136,1
51137,0
51138,1
51139,1
51140,0
51141,1
51142,0
51143,0
51144,0
51145,0
51146,0
51147,1
51148,1
51149,0
51150,0
51151,0
51152,1
51153,0
51154,0
51155,0
51156,1
51157,0
51158,1
51159,1
51160,0
51161,1
51162,1
51163,0
51164,0
51165,1
51166,0
51167,0
51168,0
51169,0
51170,0
51171,1
51172,1
51173,0
51174,0
51175,1
51176,1
51177,0
51178,0
51179,1
51180,0
51181,1
51182,1
51183,0
51184,0
51185,1
51186,1
51187,0
51188,1
51189,1
51190,0
51191,1
51192,1
51193,0
51194,1
51195,0
51196,0
51197,1
51198,1
51199,0
51200,0
51201,0
51202,1
51203,1
51204,0
51205,0
51206,0
51207,1
51208,1
51209,1
51210,0
51211,0
51212,0
51213,1
51214,0
51215,1
51216,0
51217,1
51218,1
51219,1
51220,0
51221,1
51222,0
51223,1
51224,0
51225,0
51226,1
51227,0
51228,1
51229,0
51230,1
51231,0
51232,0
51233,0
51234,0
51235,0
51236,1
51237,1
51238,1
51239,1
51240,1
51241,0
51242,1
51243,1
51244,1
51245,1
51246,0
51247,1
51248,0
51249,1
51250,0
51251,0
51252,0
51253,0
51254,1
51255,0
51256,0
51257,1
51258,1
51259,1
51260,0
51261,0
51262,0
51263,1
51264,0
51265,1
51266,1
51267,1
51268,0
51269,0
51270,0
51271,1
51272,0
51273,1
51274,0
51275,0
51276,1
51277,0
51278,1
51279,0
51280,1
51281,1
51282,1
51283,0
51284,1
51285,1
51286,0
51287,0
51288,0
51289,0
51290,1
51291,0
51292,0
51293,0
51294,1
51295,1
51296,0
51297,1
51298,1
51299,0
51300,1
51301,0
51302,1
51303,1
51304,1
51305,0
51306,1
51307,0
51308,1
51309,1
51310,0
51311,0
51312,0
51313,0
51314,1
51315,0
51316,1
51317,1
51318,1
51319,0
51320,0
51321,0
51322,1
51323,1
51324,1
51325,1
51326,0
51327,0
51328,1
51329,0
51330,1
51331,1
51332,1
51333,1
51334,0
51335,0
51336,1
51337,1
51338,0
51339,1
51340,0
51341,0
51342,0
51343,1
51344,1
51345,0
51346,0
51347,0
51348,0
51349,0
51350,1
51351,1
51352,1
51353,1
51354,1
51355,1
51356,0
51357,1
51358,0
51359,0
51360,0
51361,0
51362,0
51363,0
51364,0
51365,1
51366,1
51367,1
51368,0
51369,0
51370,0
51371,1
51372,0
51373,0
51374,1
51375,0
51376,0
51377,0
51378,1
51379,0
51380,0
51381,0
51382,1
51383,1
51384,1
51385,0
51386,0
51387,1
51388,1
51389,1
51390,1
51391,0
51392,0
51393,0
51394,1
51395,0
51396,1
51397,1
51398,0
51399,0
51400,1
51401,0
51402,1
51403,0
51404,0
51405,1
51406,0
51407,0
51408,0
51409,0
51410,1
51411,1
51412,0
51413,0
51414,1
51415,0
51416,1
51417,0
51418,1
51419,0
51420,1
51421,0
51422,0
51423,0
51424,0
51425,0
51426,0
51427,0
51428,1
51429,1
51430,0
51431,0
51432,0
51433,0
51434,1
51435,1
51436,0
51437,1
51438,0
51439,0
51440,1
51441,0
51442,1
51443,0
51444,0
51445,1
51446,1
51447,1
51448,1
51449,1
51450,0
51451,0
51452,1
51453,0
51454,0
51455,1
51456,1
51457,0
51458,1
51459,1
51460,0
51461,0
51462,0
51463,1
51464,0
51465,1
51466,0
51467,1
51468,0
51469,0
51470,1
51471,1
51472,0
51473,0
51474,1
51475,0
51476,1
51477,1
51478,1
51479,1
51480,1
51481,0
51482,0
51483,1
51484,1
51485,1
51486,0
51487,0
51488,0
51489,1
51490,1
51491,1
51492,1
51493,0
51494,1
51495,1
51496,0
51497,1
51498,0
51499,0
51500,0
51501,0
51502,0
51503,1
51504,0
51505,0
51506,1
51507,1
51508,0
51509,0
51510,1
51511,1
51512,1
51513,0
51514,0
51515,1
51516,1
51517,1
51518,0
51519,1
51520,1
51521,1
51522,1
51523,0
51524,0
51525,1
51526,1
51527,1
51528,1
51529,1
51530,1
51531,0
51532,1
51533,0
51534,0
51535,0
51536,0
51537,1
51538,0
51539,0
51540,0
51541,0
51542,0
51543,1
51544,0
51545,1
51546,1
51547,1
51548,0
51549,1
51550,1
51551,0
51552,1
51553,1
51554,0
51555,1
51556,0
51557,0
51558,1
51559,0
51560,1
51561,1
51562,1
51563,1
51564,0
51565,1
51566,1
51567,1
51568,0
51569,0
51570,1
51571,0
51572,1
51573,1
51574,0
51575,0
51576,1
51577,1
51578,1
51579,0
51580,1
51581,0
51582,1
51583,1
51584,0
51585,0
51586,1
51587,1
51588,0
51589,0
51590,1
