Product,Price,KMs,Fuel,Owners,Year,Location,Brand
BMW 5 Series 520d Sedan,1750000,60000,Diesel,1,2011,Hyderabad,BMW
Audi A4 2.0 TDI Multitronic...,1400000,64157,Diesel,1,2011,Hyderabad,Audi
Hyundai Creta SX 1.6 Petrol,1480000,21073,Petrol,1,2019,Hyderabad,Hyundai
Maruti Suzuki Alto K10 VXi,259000,42871,Petrol,2,2012,Hyderabad,Maruti
Ford Figo Duratorq Diesel E...,340000,68664,Diesel,1,2014,Hyderabad,Ford
Maruti Suzuki Swift Dzire VDi,360000,54475,Diesel,2,2008,Hyderabad,Maruti
Hyundai Creta SX+ 1.6 U2 VG...,1170000,45236,Diesel,2,2016,Hyderabad,Hyundai
Maruti Suzuki Swift VDi,495000,87732,Diesel,1,2014,Hyderabad,Maruti
Tata Indica V2 LS,299000,39460,Diesel,2,2016,Hyderabad,Tata
BMW 3 Series 320d Sedan,1975000,99000,Diesel,1,2015,Hyderabad,BMW
BMW X1 xDrive20d xLine,2770000,61000,Diesel,1,2017,Hyderabad,BMW
Mahindra XUV500 W8 FWD,690000,132000,Diesel,1,2012,Hyderabad,Mahindra
Tata Nano LX,80000,19500,Petrol,1,2011,Hyderabad,Tata
Hyundai Santro Xing XO eRLX...,185000,73568,Petrol,1,2007,Hyderabad,Hyundai
Maruti Suzuki Swift ZXi,650000,10580,Petrol,1,2019,Hyderabad,Maruti
Hyundai i20 Sportz 1.4 CRDI,350000,66600,Diesel,1,2011,Hyderabad,Hyundai
Maruti Suzuki Swift VDi ABS,580000,105469,Diesel,1,2015,Hyderabad,Maruti
Skoda Superb 2.5 TDi,330000,102451,Diesel,1,2006,Hyderabad,Skoda
Volkswagen Polo Highline1.2...,480000,48429,Petrol,1,2014,Hyderabad,Volkswagen
Maruti Suzuki Baleno Delta ...,680000,68259,Diesel,1,2015,Hyderabad,Maruti
Hyundai Verna Fluidic 1.6 C...,755000,75412,Diesel,1,2014,Hyderabad,Hyundai
Ford EcoSport 1.5 TDCi Tita...,775000,66737,Diesel,1,2016,Hyderabad,Ford
Hyundai Creta SX 1.6 CRDI VGT,1125000,95000,Diesel,1,2017,Hyderabad,Hyundai
Skoda Rapid 1.5 TDI CR Ambi...,570000,63000,Diesel,1,2014,Hyderabad,Skoda
Volkswagen Polo GT TSI Sport,950000,7080,Petrol,1,2019,Hyderabad,Volkswagen
Volvo XC60 Inscription D5,2600000,117280,Diesel,1,2016,Hyderabad,Volvo
Maruti Suzuki Celerio ZXi AMT,545000,36345,Petrol,1,2018,Hyderabad,Maruti
Maruti Suzuki Celerio ZXi,549000,15261,Petrol,1,2019,Hyderabad,Maruti
Maruti Suzuki Swift Old VXi...,225000,58152,Petrol,2,2006,Hyderabad,Maruti
BMW X7 xDrive 40i,9900000,9000,Petrol,1,2019,Hyderabad,BMW
Hyundai i10 Magna 1.2 Kappa2,381848,57390,Petrol,1,2012,Hyderabad,Hyundai
Hyundai i10 Magna 1.1 LPG,379006,65253,LPG,1,2012,Hyderabad,Hyundai
Datsun Redi-GO T(O),326110,41987,Petrol,1,2016,Hyderabad,Datsun
Maruti Suzuki Celerio Zdi,488899,35330,Diesel,1,2015,Hyderabad,Maruti
Mercedes Benz C Class C 43 AMG,7200000,13000,Petrol,1,2019,Hyderabad,Mercedes
Mini Cooper S,3000000,20000,Petrol,1,2016,Hyderabad,Mini
BMW 3 Series 320d GT Luxury...,3600000,43000,Diesel,1,2018,Hyderabad,BMW
Hyundai Santro Xing GLS LPG,260000,65000,LPG,1,2010,Hyderabad,Hyundai
Hyundai Eon Sportz,345000,34000,Petrol,1,2016,Hyderabad,Hyundai
Maruti Suzuki Vitara Brezza...,799000,59208,Diesel,1,2017,Hyderabad,Maruti
